Section ID,Section,HS2 ID,HS2,Trade Value,Share,Year
4,Foodstuffs,424,Tobacco & substitutes,34122143.0,0.2290433613538754,1998
1,Animal Products,101,Live animals,2362471.9999999995,0.018170564095667,1999
1,Animal Products,102,Meat & edible offal,169174426.0,1.3011772207165584,1999
1,Animal Products,103,"Fish, Crustaceans & Molluscs",41008102.0,0.3154070591451047,1999
1,Animal Products,104,"Edible products of animal origin, n.e.s.",65856158.0,0.5065217873622964,1999
1,Animal Products,105,"Animal originated products, n.e.s.",4052471.0,0.0311689129231297,1999
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",288768.0,0.0022210114882959,1999
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",18387049.0,0.1414209575329026,1999
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",10402017.0,0.0800053996926603,1999
2,Vegetable Products,209,"Coffee, tea, mate & spices",7698417.0,0.0592111057966711,1999
2,Vegetable Products,210,Cereals,611603219.0,4.704045377873607,1999
2,Vegetable Products,211,Products of the milling industry,44999980.0,0.3461099309933566,1999
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",185418237.0,1.4261138163390257,1999
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",1838324.0,0.0141391661237056,1999
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",45355.0,0.0003488405088225,1999
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",125737470.0,0.9670890312613304,1999
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",41551532.0,0.3195867614427439,1999
4,Foodstuffs,417,Sugars & confectioneries,110586932.0,0.8505611647668958,1999
4,Foodstuffs,418,Cocoa & cocoa preparations,22308460.0,0.1715818440623319,1999
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",8496214.0,0.0653472299597642,1999
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",30924001.0,0.2378468579796811,1999
4,Foodstuffs,421,Miscellaneous edible preparations,5142609.0,0.0395535297152535,1999
4,Foodstuffs,422,"Beverages, spirits, & vinegar",29915263.0,0.2300883158743206,1999
4,Foodstuffs,423,Food residues & wastes; animal fodder,37506867.0,0.2884778870823276,1999
4,Foodstuffs,424,Tobacco & substitutes,60874693.0,0.4682076701694482,1999
1,Animal Products,101,Live animals,5989097.0,0.036625453456055,2000
1,Animal Products,102,Meat & edible offal,195676882.0,1.196633571658126,2000
1,Animal Products,103,"Fish, Crustaceans & Molluscs",26136554.0,0.159834302571601,2000
1,Animal Products,104,"Edible products of animal origin, n.e.s.",141276866.0,0.8639581693367664,2000
1,Animal Products,105,"Animal originated products, n.e.s.",6142670.0,0.0375646068482286,2000
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",387785.0,0.0023714428850386,2000
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",14356535.0,0.0877953061092055,2000
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",23029214.0,0.1408318157956917,2000
2,Vegetable Products,209,"Coffee, tea, mate & spices",1165540.0,0.0071276907054887,2000
2,Vegetable Products,210,Cereals,165786591.0,1.0138438352740868,2000
2,Vegetable Products,211,Products of the milling industry,14523400.0,0.0888157447982006,2000
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",193640030.0,1.1841774988773923,2000
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",1774452.0,0.0108514036650272,2000
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",88666.0,0.0005422240541661,2000
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",270388511.0,1.6535216952877063,2000
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",18501150.0,0.1131410975992694,2000
4,Foodstuffs,417,Sugars & confectioneries,107656949.0,0.6583604464613593,2000
4,Foodstuffs,418,Cocoa & cocoa preparations,62051895.0,0.3794693577650374,2000
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",21684182.0,0.1326064678153694,2000
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",27671861.0,0.1692232496982305,2000
4,Foodstuffs,421,Miscellaneous edible preparations,5316584.0,0.0325127978119584,2000
4,Foodstuffs,422,"Beverages, spirits, & vinegar",43017897.0,0.2630697055584285,2000
4,Foodstuffs,423,Food residues & wastes; animal fodder,61497347.0,0.3760780999571995,2000
4,Foodstuffs,424,Tobacco & substitutes,77495786.0,0.4739142316752256,2000
1,Animal Products,101,Live animals,2070459.0,0.0113348945768431,2001
1,Animal Products,102,Meat & edible offal,159305279.0,0.8721295823774299,2001
1,Animal Products,103,"Fish, Crustaceans & Molluscs",23012576.0,0.1259842010402484,2001
1,Animal Products,104,"Edible products of animal origin, n.e.s.",229705209.0,1.2575396700764088,2001
1,Animal Products,105,"Animal originated products, n.e.s.",8739453.0,0.0478448394362196,2001
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",236660.0,0.001295614233634,2001
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",23765626.0,0.1301068339255612,2001
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",22146164.0,0.1212409587543051,2001
2,Vegetable Products,209,"Coffee, tea, mate & spices",968220.0,0.0053005983828663,2001
2,Vegetable Products,210,Cereals,489326520.0,2.67885745037866,2001
2,Vegetable Products,211,Products of the milling industry,12822580.0,0.0701982471051771,2001
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",198564236.0,1.087055904894234,2001
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",1420707.0,0.0077777749134772,2001
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",188748.0,0.0010333161301865,2001
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",245385164.0,1.3433808467887445,2001
